id,cycle,committee_type,form_type,date_filed,date_coverage_from,date_coverage_to,report_title,report_period,paper,contributions_total,cash_on_hand,disbursements_total,receipts_total,amended,is_amendment,original_filing,fec_uri,original_uri,amended_uri
723744,2012,P,F3,2011-04-15,2011-01-01,2011-03-31,APR QUARTERLY,Q1,False,0.0,623.49,3798.46,0.0,False,,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/723744/,,
944268,2012,P,F3,2014-08-06,2011-04-01,2011-06-30,JUL QUARTERLY,Q2,False,18325722.87,12715495.41,5668384.74,18383256.66,False,True,736177,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/944268/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/736177/,
933464,2012,P,F3,2014-06-27,2011-07-01,2011-09-30,OCT QUARTERLY,Q3,False,14156767.64,14656965.83,12281100.24,14222570.66,False,True,748283,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/933464/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/748283/,
896726,2012,P,F3,2013-12-04,2011-10-01,2011-12-31,YEAR-END,YE,False,24223870.18,19916126.36,19019342.53,24278503.06,False,True,763507,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/896726/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/763507/,
896728,2012,P,F3,2013-12-04,2012-01-01,2012-01-31,FEB MONTHLY,M2,False,6441392.29,7677629.02,18776493.88,6537996.54,False,True,767140,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/896728/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/767140/,
780124,2012,P,F3,2012-04-20,2012-02-01,2012-02-29,MAR MONTHLY,,False,11554514.25,7273351.69,12362525.9,11958248.57,False,True,771945,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/780124/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/771945/,
896732,2012,P,F3,2013-12-04,2012-03-01,2012-03-31,APR MONTHLY,M4,False,12697330.29,10059748.14,10275864.83,13062261.28,False,True,780128,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/896732/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/780128/,
944275,2012,P,F3,2014-08-06,2012-04-01,2012-04-30,MAY MONTHLY,M5,False,11449245.03,9211335.34,12572102.18,11723689.38,False,True,785689,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/944275/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/785689/,
944813,2012,P,F3,2014-08-11,2012-05-01,2012-05-31,JUN MONTHLY,M6,False,16002050.79,16999665.75,15629510.31,23417840.72,False,True,791651,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/944813/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/791651/,
896735,2012,P,F3,2013-12-04,2012-06-01,2012-06-30,JUL MONTHLY,M7,False,24002428.23,22505829.98,27538608.67,33044772.9,False,True,800289,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/896735/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/800289/,
944286,2012,P,F3,2014-08-06,2012-07-01,2012-07-31,AUG MONTHLY,M8,False,28642440.62,30181372.86,32653870.28,40329413.16,False,True,806252,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/944286/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/806252/,
896743,2012,P,F3,2013-12-04,2012-08-01,2012-08-31,SEP MONTHLY,M9,False,26915521.57,50434404.1,66360985.44,86614016.68,False,True,811156,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/896743/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/811156/,
944828,2012,P,F3,2014-08-11,2012-09-01,2012-09-30,OCT MONTHLY,M10,False,41978849.21,63148016.85,65019625.78,77733238.53,False,True,822044,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/944828/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/822044/,
933475,2012,P,F3,2014-06-27,2012-10-01,2012-10-17,PRE-GENERAL,PREG,False,38137457.31,52702009.62,62281697.78,51835690.55,False,True,827761,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/933475/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/827761/,
933479,2012,P,F3,2014-06-27,2012-10-18,2012-11-26,POST-GENERAL,PG,False,30291543.77,12921628.8,105343229.58,65562848.76,False,True,840641,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/933479/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/840641/,
934756,2012,P,F3,2014-07-07,2012-11-27,2012-12-31,YEAR-END,YE,False,140034.16,383275.27,17286338.02,4747984.49,False,True,853797,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/934756/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00431171/853797/,
