id,cycle,committee_type,form_type,date_filed,date_coverage_from,date_coverage_to,report_title,report_period,paper,contributions_total,cash_on_hand,disbursements_total,receipts_total,amended,is_amendment,original_filing,fec_uri,original_uri,amended_uri
992710,2012,P,F3,2015-02-09,2011-04-01,2011-06-30,JUL QUARTERLY,Q2,False,180236.8,6006.55,174230.25,180236.8,False,True,735266,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992710/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/735266/,
992711,2012,P,F3,2015-02-09,2011-07-01,2011-09-30,OCT QUARTERLY,Q3,False,236193.77,10882.33,231317.99,236193.77,False,True,748593,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992711/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/748593/,
992712,2012,P,F3,2015-02-09,2011-10-01,2011-12-31,YEAR-END,YE,False,161694.38,18012.95,154563.76,161694.38,False,True,761487,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992712/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/761487/,
992713,2012,P,F3,2015-02-09,2012-01-01,2012-01-31,FEB MONTHLY,M2,False,65592.04,10501.53,73103.46,65592.04,False,True,768155,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992713/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/768155/,
992714,2012,P,F3,2015-02-09,2012-02-01,2012-02-29,MAR MONTHLY,,False,41879.6,11463.38,40917.75,41879.6,False,True,771891,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992714/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/771891/,
992716,2012,P,F3,2015-02-09,2012-03-01,2012-03-31,APR MONTHLY,M4,False,62228.71,9953.26,63738.83,62228.71,False,True,780465,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992716/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/780465/,
992717,2012,P,F3,2015-02-09,2012-04-01,2012-04-30,MAY MONTHLY,M5,False,59447.89,9867.57,59533.58,59447.89,False,True,785654,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992717/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/785654/,
992719,2012,P,F3,2015-02-09,2012-05-01,2012-05-31,JUN MONTHLY,M6,False,118634.66,731.63,227770.6,218634.66,False,True,791749,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992719/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/791749/,
992722,2012,P,F3,2015-02-09,2012-06-01,2012-06-30,JUL MONTHLY,M7,False,94104.64,5218.84,119617.43,124104.64,False,True,800372,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992722/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/800372/,
992723,2012,P,F3,2015-02-09,2012-07-01,2012-07-31,AUG MONTHLY,M8,False,202921.89,14264.95,332589.99,341636.1,False,True,806243,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992723/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/806243/,
992725,2012,P,F3,2015-02-09,2012-08-01,2012-08-31,SEP MONTHLY,M9,False,282714.04,52341.83,318329.45,356406.33,False,True,810956,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992725/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/810956/,
992726,2012,P,F3,2015-02-09,2012-09-01,2012-09-30,OCT MONTHLY,M10,False,274785.96,29173.38,297954.41,274785.96,False,True,820192,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992726/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/820192/,
992727,2012,P,F3,2015-02-09,2012-10-01,2012-10-17,PRE-GENERAL,PREG,False,203809.9,35703.88,197279.4,203809.9,False,True,827200,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992727/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/827200/,
992728,2012,P,F3,2015-02-09,2012-10-18,2012-11-26,POST-GENERAL,PG,False,250761.87,2943.43,290163.62,257403.17,False,True,839776,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992728/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/839776/,
992730,2012,P,F3,2015-02-09,2012-11-27,2012-12-31,YEAR-END,YE,False,10511.37,43932.94,171547.64,212537.15,False,True,853688,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/992730/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00495622/853688/,
