id,cycle,committee_type,form_type,date_filed,date_coverage_from,date_coverage_to,report_title,report_period,paper,contributions_total,cash_on_hand,disbursements_total,receipts_total,amended,is_amendment,original_filing,fec_uri,original_uri,amended_uri
932643,2012,P,F3,2014-06-20,2011-10-01,2011-12-31,YEAR-END,YE,False,17952.12,12173.15,9778.97,21952.12,False,True,761619,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932643/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/761619/,
932645,2012,P,F3,2014-06-20,2012-01-01,2012-03-31,APR QUARTERLY,Q1,False,51604.89,11014.42,52866.86,51708.13,False,True,781582,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932645/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/781582/,
932660,2012,P,F3,2014-06-20,2012-04-01,2012-04-30,MAY MONTHLY,M5,False,19456.0,24374.14,30914.48,44274.2,False,True,785708,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932660/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/785708/,
932670,2012,P,F3,2014-06-20,2012-05-01,2012-05-31,JUN MONTHLY,M6,False,29512.51,13790.43,40132.97,29549.26,False,True,791815,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932670/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/791815/,
932675,2012,P,F3,2014-06-20,2012-06-01,2012-06-30,JUL MONTHLY,M7,False,48556.88,47635.65,34711.66,68556.88,False,True,800348,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932675/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/800348/,
932677,2012,P,F3,2014-06-20,2012-07-01,2012-07-31,AUG MONTHLY,M8,False,98735.28,59753.07,87161.06,99278.48,False,True,806400,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932677/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/806400/,
932681,2012,P,F3,2014-06-20,2012-08-01,2012-08-31,SEP MONTHLY,M9,False,103454.6,31306.6,232349.91,203903.44,False,True,811430,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932681/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/811430/,
932682,2012,P,F3,2014-06-20,2012-09-01,2012-09-30,OCT MONTHLY,M10,False,130727.0,42017.77,140582.9,151294.07,False,True,823142,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932682/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/823142/,
932685,2012,P,F3,2014-06-20,2012-10-01,2012-10-17,PRE-GENERAL,PREG,False,71789.24,31480.05,243256.69,232718.97,False,True,825219,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932685/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/825219/,
932688,2012,P,F3,2014-06-20,2012-10-18,2012-11-26,POST-GENERAL,PG,False,244519.82,138808.63,211451.24,318779.82,False,True,840546,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932688/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/840546/,
932694,2012,P,F3,2014-06-20,2012-11-27,2012-12-31,YEAR-END,YE,False,2726.28,141512.91,38821.22,41525.5,False,True,853118,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/932694/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00505800/853118/,
