id,cycle,committee_type,form_type,date_filed,date_coverage_from,date_coverage_to,report_title,report_period,paper,contributions_total,cash_on_hand,disbursements_total,receipts_total,amended,is_amendment,original_filing,fec_uri,original_uri,amended_uri
1033668,2016,P,F3,2015-11-20,2015-01-01,2015-09-30,OCT QUARTERLY,Q3,False,140292.93,27102.35,153190.58,180292.93,False,True,1031404,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1033668/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1031404/,
1033669,2016,P,F3,2015-11-20,2015-10-01,2015-10-31,NOV MONTHLY,M11,False,11286.0,21792.04,16596.31,11286.0,False,,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1033669/,,
1079074,2016,P,F3,2016-06-20,2015-11-01,2015-11-30,DEC MONTHLY,M12,False,25771.92,18109.47,29454.49,25771.92,False,True,1037088,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079074/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1037088/,
1079076,2016,P,F3,2016-06-20,2015-12-01,2015-12-31,YEAR-END,YE,False,26844.75,22211.05,22743.17,26844.75,False,True,1047823,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079076/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1047823/,
1079089,2016,P,F3,2016-06-20,2016-01-01,2016-01-31,FEB MONTHLY,M2,False,55912.54,37089.93,41346.66,56225.54,False,True,1051624,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079089/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1051624/,
1079092,2016,P,F3,2016-06-20,2016-02-01,2016-02-29,MAR MONTHLY,,False,20253.0,27784.17,29558.76,20253.0,False,True,1056990,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079092/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1056990/,
1079094,2016,P,F3,2016-06-20,2016-03-01,2016-03-31,APR MONTHLY,M4,False,37274.13,50967.4,14090.9,37274.13,False,True,1066469,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079094/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1066469/,
1079105,2016,P,F3,2016-06-20,2016-04-01,2016-04-30,MAY MONTHLY,M5,False,27109.24,137122.62,41042.02,127197.24,False,True,1074027,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079105/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1074027/,
1079108,2016,P,F3,2016-06-20,2016-05-01,2016-05-31,JUN MONTHLY,M6,False,69978.24,195762.64,108352.75,166992.77,False,True,1079069,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079108/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1079069/,
1109816,2016,P,F3,2016-10-18,2016-06-01,2016-06-30,JUL MONTHLY,M7,False,209973.26,281137.59,170527.58,255902.53,False,True,1089796,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1109816/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1089796/,
1109817,2016,P,F3,2016-10-18,2016-07-01,2016-07-31,AUG MONTHLY,M8,False,1017743.73,468655.08,830226.24,1017743.73,False,True,1096358,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1109817/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1096358/,
1109818,2016,P,F3,2016-10-18,2016-08-01,2016-08-31,SEP MONTHLY,M9,False,654649.84,199661.44,1151145.85,882152.21,False,True,1100936,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1109818/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1100936/,
1111549,2016,P,F3,2016-10-20,2016-09-01,2016-09-30,OCT MONTHLY,M10,False,410588.31,73681.55,536568.2,410588.31,False,,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1111549/,,
1119553,2016,P,F3,2016-10-27,2016-10-01,2016-10-19,PRE-GENERAL,PREG,False,308228.34,58303.11,325447.53,310069.09,False,,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00581199/1119553/,,
