id,cycle,committee_type,form_type,date_filed,date_coverage_from,date_coverage_to,report_title,report_period,paper,contributions_total,cash_on_hand,disbursements_total,receipts_total,amended,is_amendment,original_filing,fec_uri,original_uri,amended_uri
1024052,2016,P,F3,2015-09-03,2015-04-01,2015-06-30,JUL QUARTERLY,Q2,False,47549799.64,28850135.62,18699814.02,47549949.64,False,True,1015585,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1024052/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1015585/,
1081046,2016,P,F3,2016-07-05,2015-07-01,2015-09-30,OCT QUARTERLY,Q3,False,29449433.6,32995172.39,25780713.14,29925749.91,False,True,1029510,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081046/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1029510/,
1081052,2016,P,F3,2016-07-05,2015-10-01,2015-12-31,YEAR-END,YE,False,33194425.57,37977647.61,33110965.04,38093440.26,False,True,1047281,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081052/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1047281/,
1081057,2016,P,F3,2016-07-05,2016-01-01,2016-01-31,FEB MONTHLY,M2,False,13320466.0,32938563.75,19919631.55,14880547.69,False,True,1051543,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081057/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1051543/,
1093618,2016,P,F3,2016-08-11,2016-02-01,2016-02-29,MAR MONTHLY,,False,23493861.43,30832968.5,31564540.66,29458945.41,False,True,1056807,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1093618/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1056807/,
1081062,2016,P,F3,2016-07-05,2016-03-01,2016-03-31,APR MONTHLY,M4,False,22552548.17,28972522.1,28694882.43,26834436.03,False,True,1066337,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081062/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1066337/,
1091718,2016,P,F3,2016-07-30,2016-04-01,2016-04-30,MAY MONTHLY,M5,False,20403773.28,30160782.21,23859389.18,25047649.29,False,True,1073673,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1091718/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1073673/,
1091720,2016,P,F3,2016-07-30,2016-05-01,2016-05-31,JUN MONTHLY,M6,False,19700522.17,42465635.99,14085977.14,26390830.92,False,True,1079219,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1091720/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1079219/,
1099613,2016,P,F3,2016-09-18,2016-06-01,2016-06-30,JUL MONTHLY,M7,False,23832606.9,44361029.7,34466401.87,36361795.58,False,True,1089684,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1099613/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1089684/,
1109498,2016,P,F3,2016-10-17,2016-07-01,2016-07-31,AUG MONTHLY,M8,False,31494799.68,58471932.1,38178136.81,52289039.21,False,True,1096298,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1109498/,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1096298/,
1100718,2016,P,F3,2016-09-20,2016-08-01,2016-08-31,SEP MONTHLY,M9,False,27056974.42,68429276.78,49554327.58,59511672.26,False,,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1100718/,,
1112134,2016,P,F3,2016-10-20,2016-09-01,2016-09-30,OCT MONTHLY,M10,False,41156267.69,59664302.08,82589319.97,73824345.27,False,,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1112134/,,
1119042,2016,P,F3,2016-10-27,2016-10-01,2016-10-19,PRE-GENERAL,PREG,False,28124083.66,62440979.49,50061534.1,52838211.51,False,,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1119042/,,
